Place Name,City,Location,Rating,Review Count,Popularity Score,Review
Chennai Rail Museum,Chennai,"Chennai, Tamil Nadu, India",4,1907,89.53,சுத்தம் பராமரிக்கப்படவில்லை.
National Art Gallery,Chennai,"Chennai, Tamil Nadu, India",3.4,2592,80.96,"Clean and peaceful, highly recommended."
Blue Lagoon Beach,Chennai,"Chennai, Tamil Nadu, India",5,91,100.45,Services need improvement.
Madipakkam Lake,Chennai,"Chennai, Tamil Nadu, India",4.3,3258,102.29,"Well maintained, great for tourists."
Nanmangalam Reserve Forest,Chennai,"Chennai, Tamil Nadu, India",4,548,82.74,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Sathyam Cinemas,Chennai,"Chennai, Tamil Nadu, India",3.1,1863,71.31,"Too crowded, didn't enjoy much."
Mayajaal Multiplex,Chennai,"Chennai, Tamil Nadu, India",4.9,35,98.17,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Besant Nagar Beach,Chennai,"Chennai, Tamil Nadu, India",3.7,1921,83.61,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Kovalam Beach,Chennai,"Chennai, Tamil Nadu, India",4.7,4151,114.75,"Well maintained, great for tourists."
Muttukadu Boat House,Chennai,"Chennai, Tamil Nadu, India",4.2,228,85.14,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Arupadai Veedu Murugan Temple - 44,Chennai,"Chennai, Tamil Nadu, India",3.2,2202,75.01,"Not well maintained, needs improvement."
Arignar Anna Zoological Park - 6,Chennai,"Chennai, Tamil Nadu, India",3.6,236,73.18,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
T Nagar Shopping District - 40,Chennai,"Chennai, Tamil Nadu, India",5,773,103.86,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Madipakkam Lake - 36,Chennai,"Chennai, Tamil Nadu, India",4.3,1355,92.78,Amazing place! Had a wonderful experience.
Marina Beach - 10,Chennai,"Chennai, Tamil Nadu, India",4.3,4429,108.14,"Clean and peaceful, highly recommended."
St. Thomas Mount - 50,Chennai,"Chennai, Tamil Nadu, India",4.9,376,99.88,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Theosophical Society - 28,Chennai,"Chennai, Tamil Nadu, India",2.6,478,54.39,சுத்தம் பராமரிக்கப்படவில்லை.
T Nagar Shopping District - 40 - 47,Chennai,"Chennai, Tamil Nadu, India",4.8,2033,106.16,"Clean and peaceful, highly recommended."
Birla Planetarium - 28,Chennai,"Chennai, Tamil Nadu, India",4.3,1200,92,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Royapuram Fishing Harbour - 31,Chennai,"Chennai, Tamil Nadu, India",3.1,3220,78.1,Disappointing experience!
Queensland Amusement Park - 4,Chennai,"Chennai, Tamil Nadu, India",5,4128,120.64,"Well maintained, great for tourists."
St. Thomas Mount - 38,Chennai,"Chennai, Tamil Nadu, India",4.9,4742,121.71,Services need improvement.
Breezy Beach - 44,Chennai,"Chennai, Tamil Nadu, India",4,3529,97.64,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
MGR Film City - 13,Chennai,"Chennai, Tamil Nadu, India",4.1,4120,102.6,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Breezy Beach - 20,Chennai,"Chennai, Tamil Nadu, India",3,653,63.27,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
National Art Gallery - 43,Chennai,"Chennai, Tamil Nadu, India",4.6,4526,114.63,"Well maintained, great for tourists."
Cholamandal Artists' Village - 37,Chennai,"Chennai, Tamil Nadu, India",4.1,2647,95.23,Perfect for a family outing!
Birla Planetarium - 28 - 45,Chennai,"Chennai, Tamil Nadu, India",4,1385,86.92,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Mayajaal Multiplex - 3,Chennai,"Chennai, Tamil Nadu, India",4.6,1819,101.09,"Too crowded, didn't enjoy much."
Theosophical Society - 28 - 38,Chennai,"Chennai, Tamil Nadu, India",4.9,315,99.58,Services need improvement.
Edward Elliot's Beach - 33,Chennai,"Chennai, Tamil Nadu, India",4,2524,92.62,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Shirdi Sai Baba Temple - 49,Chennai,"Chennai, Tamil Nadu, India",4.9,2006,108.03,"Beautiful ambiance, must-visit spot."
Queensland Amusement Park - 4 - 4,Chennai,"Chennai, Tamil Nadu, India",2.5,134,50.67,Perfect for a family outing!
Marina Beach - 42,Chennai,"Chennai, Tamil Nadu, India",3.5,4896,94.48,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Thousand Lights Mosque - 20,Chennai,"Chennai, Tamil Nadu, India",3.4,4979,92.89,சுத்தம் பராமரிக்கப்படவில்லை.
Chetpet Eco Park - 11,Chennai,"Chennai, Tamil Nadu, India",4.3,4496,108.48,நம்பியதை விட மோசம்!
Madras High Court - 11,Chennai,"Chennai, Tamil Nadu, India",3.9,3583,95.91,"Beautiful ambiance, must-visit spot."
Valluvar Kottam - 6,Chennai,"Chennai, Tamil Nadu, India",3.5,1932,79.66,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Vivekananda House - 11,Chennai,"Chennai, Tamil Nadu, India",3.2,3210,80.05,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Queensland Amusement Park - 4 - 35,Chennai,"Chennai, Tamil Nadu, India",3.7,3119,89.59,"Clean and peaceful, highly recommended."
Birla Planetarium - 7,Chennai,"Chennai, Tamil Nadu, India",2.8,3634,74.17,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Queensland Amusement Park - 15,Chennai,"Chennai, Tamil Nadu, India",2.8,205,57.02,"Well maintained, great for tourists."
Queensland Amusement Park - 4 - 24,Chennai,"Chennai, Tamil Nadu, India",3.5,4121,90.61,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Queensland Amusement Park - 11,Chennai,"Chennai, Tamil Nadu, India",4.3,1566,93.83,"Not well maintained, needs improvement."
T Nagar Shopping District - 40 - 47 - 42,Chennai,"Chennai, Tamil Nadu, India",4.3,1078,91.39,Perfect for a family outing!
Mayajaal Multiplex - 3 - 14,Chennai,"Chennai, Tamil Nadu, India",3.6,1041,77.2,Amazing place! Had a wonderful experience.
St. Thomas Mount - 42,Chennai,"Chennai, Tamil Nadu, India",4,627,83.14,Services need improvement.
Ripon Building - 2,Chennai,"Chennai, Tamil Nadu, India",3,4212,81.06,"நன்றாக இல்லை, பராமரிப்பு தேவை."
St. Thomas Mount - 38 - 40,Chennai,"Chennai, Tamil Nadu, India",4.6,3601,110,சுத்தம் பராமரிக்கப்படவில்லை.
Marina Beach - 10 - 50,Chennai,"Chennai, Tamil Nadu, India",4.4,3050,103.25,"Well maintained, great for tourists."
Marina Beach - 26,Chennai,"Chennai, Tamil Nadu, India",2.9,1434,65.17,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Shirdi Sai Baba Temple - 39,Chennai,"Chennai, Tamil Nadu, India",4.8,3686,114.43,"Too crowded, didn't enjoy much."
Arupadai Veedu Murugan Temple - 44 - 4,Chennai,"Chennai, Tamil Nadu, India",3.2,4102,84.51,Services need improvement.
Phoenix MarketCity - 2,Chennai,"Chennai, Tamil Nadu, India",4,3180,95.9,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Queensland Amusement Park - 15 - 19,Chennai,"Chennai, Tamil Nadu, India",4.3,1830,95.15,Disappointing experience!
Theosophical Society - 28 - 38 - 24,Chennai,"Chennai, Tamil Nadu, India",3.1,4402,84.01,Amazing place! Had a wonderful experience.
MGR Film City - 43,Chennai,"Chennai, Tamil Nadu, India",3.2,2083,74.41,சுத்தம் பராமரிக்கப்படவில்லை.
Muttukadu Boat House - 43,Chennai,"Chennai, Tamil Nadu, India",4.3,4304,107.52,சுத்தம் பராமரிக்கப்படவில்லை.
Theosophical Society - 28 - 38 - 24 - 50,Chennai,"Chennai, Tamil Nadu, India",3.3,840,70.2,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Vivekananda House - 11 - 9,Chennai,"Chennai, Tamil Nadu, India",4.1,1793,90.97,Disappointing experience!
Thousand Lights Mosque - 17,Chennai,"Chennai, Tamil Nadu, India",4,3077,95.39,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Queensland Amusement Park - 4 - 24 - 19,Chennai,"Chennai, Tamil Nadu, India",4.7,4567,116.84,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Blue Lagoon Beach - 43,Chennai,"Chennai, Tamil Nadu, India",4.2,1283,90.42,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
T Nagar Shopping District - 40 - 47 - 42,Chennai,"Chennai, Tamil Nadu, India",4.8,2375,107.88,"Well maintained, great for tourists."
Marina Beach - 26 - 9,Chennai,"Chennai, Tamil Nadu, India",3.7,1425,81.12,"Beautiful ambiance, must-visit spot."
Mayajaal Multiplex - 3 - 27,Chennai,"Chennai, Tamil Nadu, India",2.8,1759,64.8,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Marina Beach - 40,Chennai,"Chennai, Tamil Nadu, India",4.5,3847,109.23,"Clean and peaceful, highly recommended."
Breezy Beach - 20 - 16,Chennai,"Chennai, Tamil Nadu, India",4.3,3792,104.96,Perfect for a family outing!
Theosophical Society - 28 - 36,Chennai,"Chennai, Tamil Nadu, India",4.3,3743,104.72,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Cholamandal Artists' Village - 37 - 35,Chennai,"Chennai, Tamil Nadu, India",3.3,3366,82.83,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Queensland Amusement Park - 4 - 1,Chennai,"Chennai, Tamil Nadu, India",4.4,2578,100.89,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
T Nagar Shopping District - 40 - 47 - 42 - 16,Chennai,"Chennai, Tamil Nadu, India",4.9,3801,117,"Clean and peaceful, highly recommended."
Valluvar Kottam - 22,Chennai,"Chennai, Tamil Nadu, India",4.7,3688,112.44,"Clean and peaceful, highly recommended."
Thousand Lights Mosque - 17 - 11,Chennai,"Chennai, Tamil Nadu, India",4.2,46,84.23,நம்பியதை விட மோசம்!
Edward Elliot's Beach - 33,Chennai,"Chennai, Tamil Nadu, India",4.9,3449,115.25,Services need improvement.
Marina Beach - 10 - 50 - 40,Chennai,"Chennai, Tamil Nadu, India",4.8,2533,108.66,Perfect for a family outing!
T Nagar Shopping District - 40 - 47 - 42 - 34,Chennai,"Chennai, Tamil Nadu, India",3.9,515,80.58,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Shirdi Sai Baba Temple - 47,Chennai,"Chennai, Tamil Nadu, India",4.9,50,98.25,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Marina Beach - 26 - 27,Chennai,"Chennai, Tamil Nadu, India",2.8,3449,73.25,"Too crowded, didn't enjoy much."
Semmozhi Poonga - 26,Chennai,"Chennai, Tamil Nadu, India",3.8,4590,98.95,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Thousand Lights Mosque - 17 - 11 - 39,Chennai,"Chennai, Tamil Nadu, India",3,947,64.73,"Well maintained, great for tourists."
Edward Elliot's Beach - 33 - 11,Chennai,"Chennai, Tamil Nadu, India",3.3,305,67.53,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Cholamandal Artists' Village - 16,Chennai,"Chennai, Tamil Nadu, India",3.5,1602,78.01,"Not well maintained, needs improvement."
Semmozhi Poonga - 26 - 30,Chennai,"Chennai, Tamil Nadu, India",3.1,1805,71.03,"Not well maintained, needs improvement."
Breezy Beach - 20 - 16,Chennai,"Chennai, Tamil Nadu, India",3.1,1190,67.95,"Beautiful ambiance, must-visit spot."
Ripon Building - 2 - 29,Chennai,"Chennai, Tamil Nadu, India",2.9,350,59.75,நம்பியதை விட மோசம்!
Mayajaal Multiplex - 3 - 14 - 8,Chennai,"Chennai, Tamil Nadu, India",4.9,4427,120.14,"Not well maintained, needs improvement."
Arignar Anna Zoological Park - 18,Chennai,"Chennai, Tamil Nadu, India",4.8,3791,114.95,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Nanmangalam Reserve Forest - 25,Chennai,"Chennai, Tamil Nadu, India",5,3314,116.57,Disappointing experience!
St. Thomas Mount - 50 - 13,Chennai,"Chennai, Tamil Nadu, India",4.9,241,99.2,சுத்தம் பராமரிக்கப்படவில்லை.
Arignar Anna Zoological Park - 18 - 4,Chennai,"Chennai, Tamil Nadu, India",2.9,4318,79.59,Cleanliness could be better.
MGR Film City - 28,Chennai,"Chennai, Tamil Nadu, India",3.8,2246,87.23,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Birla Planetarium - 45,Chennai,"Chennai, Tamil Nadu, India",4,386,81.93,நம்பியதை விட மோசம்!
Marina Beach - 20,Chennai,"Chennai, Tamil Nadu, India",3.8,1156,81.78,சுத்தம் பராமரிக்கப்படவில்லை.
MGR Film City - 28 - 23,Chennai,"Chennai, Tamil Nadu, India",3.9,2072,88.36,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Madras High Court - 11 - 47,Chennai,"Chennai, Tamil Nadu, India",3.4,4400,90,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Royapuram Fishing Harbour - 49,Chennai,"Chennai, Tamil Nadu, India",4.8,3304,112.52,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Madras High Court - 11 - 28,Chennai,"Chennai, Tamil Nadu, India",3.8,1432,83.16,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Madras High Court - 48,Chennai,"Chennai, Tamil Nadu, India",3.9,4418,100.09,"நன்றாக இல்லை, பராமரிப்பு தேவை."
Besant Nagar Beach - 30,Chennai,"Chennai, Tamil Nadu, India",4.4,1301,94.5,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Arignar Anna Zoological Park - 18 - 18,Chennai,"Chennai, Tamil Nadu, India",4.7,1979,103.89,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Chennai Rail Museum - 11,Chennai,"Chennai, Tamil Nadu, India",3.8,2252,87.26,"Clean and peaceful, highly recommended."
Birla Planetarium - 28 - 16,Chennai,"Chennai, Tamil Nadu, India",2.7,1299,60.49,"Clean and peaceful, highly recommended."
National Art Gallery - 37,Chennai,"Chennai, Tamil Nadu, India",2.8,3394,72.97,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Madras War Cemetery - 23,Chennai,"Chennai, Tamil Nadu, India",3.4,189,68.94,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Government Museum - 39,Chennai,"Chennai, Tamil Nadu, India",3.8,1714,84.57,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Ashtalakshmi Temple - 45,Chennai,"Chennai, Tamil Nadu, India",2.6,4489,74.44,"Beautiful ambiance, must-visit spot."
Guindy National Park - 19,Chennai,"Chennai, Tamil Nadu, India",3.3,4756,89.78,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Guindy National Park - 19 - 40,Chennai,"Chennai, Tamil Nadu, India",3.5,4195,90.97,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Birla Planetarium - 28 - 16 - 41,Chennai,"Chennai, Tamil Nadu, India",4.3,1919,95.59,"Clean and peaceful, highly recommended."
Madras High Court - 1,Chennai,"Chennai, Tamil Nadu, India",4.1,1244,88.22,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Blue Lagoon Beach - 25,Chennai,"Chennai, Tamil Nadu, India",3.8,27,76.14,Cleanliness could be better.
Ashtalakshmi Temple - 36,Chennai,"Chennai, Tamil Nadu, India",2.7,619,57.09,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Arignar Anna Zoological Park - 6 - 26,Chennai,"Chennai, Tamil Nadu, India",2.6,1263,58.31,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Thousand Lights Mosque - 20 - 40,Chennai,"Chennai, Tamil Nadu, India",4.8,956,100.78,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
DakshinaChitra - 17,Chennai,"Chennai, Tamil Nadu, India",2.9,1719,66.59,"நன்றாக இல்லை, பராமரிப்பு தேவை."
Arupadai Veedu Murugan Temple - 12,Chennai,"Chennai, Tamil Nadu, India",4.3,3632,104.16,"Well maintained, great for tourists."
MGM Dizzee World - 8,Chennai,"Chennai, Tamil Nadu, India",4.5,1158,95.79,"சுத்தம் மற்றும் அமைதி, கண்டிப்பாக பரிந்துரைக்கலாம்."
Arignar Anna Zoological Park - 18 - 18 - 28,Chennai,"Chennai, Tamil Nadu, India",3.8,3857,95.28,"Clean and peaceful, highly recommended."
Theosophical Society - 28 - 21,Chennai,"Chennai, Tamil Nadu, India",4.3,2013,96.06,சேவைகள் மேம்படுத்தப்பட வேண்டும்.
Ashtalakshmi Temple - 45 - 8,Chennai,"Chennai, Tamil Nadu, India",4,1530,87.65,Services need improvement.
Chennai Rail Museum - 7,Chennai,"Chennai, Tamil Nadu, India",2.9,2934,72.67,"Not well maintained, needs improvement."
Mayajaal Multiplex - 3 - 14 - 8 - 25,Chennai,"Chennai, Tamil Nadu, India",4,401,82,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
MGM Dizzee World - 40,Chennai,"Chennai, Tamil Nadu, India",3.3,2143,76.72,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
Queensland Amusement Park - 4 - 24 - 38,Chennai,"Chennai, Tamil Nadu, India",4.4,649,91.25,"நன்றாக இல்லை, பராமரிப்பு தேவை."
Thousand Lights Mosque - 17 - 11 - 39 - 41,Chennai,"Chennai, Tamil Nadu, India",4,2764,93.82,சுத்தம் பராமரிக்கப்படவில்லை.
Mayajaal Multiplex - 3 - 27 - 28,Chennai,"Chennai, Tamil Nadu, India",3.6,3927,91.64,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
Theosophical Society - 48,Chennai,"Chennai, Tamil Nadu, India",3.5,3248,86.24,Perfect for a family outing!
Cholamandal Artists' Village - 37 - 35 - 40,Chennai,"Chennai, Tamil Nadu, India",4.6,2173,102.86,Perfect for a family outing!
Besant Nagar Beach - 45,Chennai,"Chennai, Tamil Nadu, India",3.6,2830,86.15,Services need improvement.
T Nagar Shopping District - 40 - 4,Chennai,"Chennai, Tamil Nadu, India",4.3,375,87.88,"Too crowded, didn't enjoy much."
Government Museum - 39 - 34,Chennai,"Chennai, Tamil Nadu, India",2.9,3228,74.14,Perfect for a family outing!
T Nagar Shopping District - 40 - 41,Chennai,"Chennai, Tamil Nadu, India",4.2,3523,101.61,சுத்தம் பராமரிக்கப்படவில்லை.
Marina Beach - 20 - 13,Chennai,"Chennai, Tamil Nadu, India",3.4,1723,76.61,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Birla Planetarium - 28 - 6,Chennai,"Chennai, Tamil Nadu, India",3.3,1566,73.83,Perfect for a family outing!
Ripon Building - 2 - 34,Chennai,"Chennai, Tamil Nadu, India",3.6,3698,90.49,Services need improvement.
Cholamandal Artists' Village - 16 - 38,Chennai,"Chennai, Tamil Nadu, India",3.6,1156,77.78,அருமையான இடம்! மிகவும் மகிழ்ச்சியாக இருந்தது.
VGP Universal Kingdom - 47,Chennai,"Chennai, Tamil Nadu, India",4.6,4489,114.44,இங்கு வந்தது ஒரு சிறந்த தேர்வு!
Vivekananda House - 11 - 9 - 4,Chennai,"Chennai, Tamil Nadu, India",3.7,2039,84.19,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
St. Thomas Mount - 50 - 41,Chennai,"Chennai, Tamil Nadu, India",2.8,3986,75.93,Cleanliness could be better.
Queensland Amusement Park - 11 - 2,Chennai,"Chennai, Tamil Nadu, India",3.5,1088,75.44,Cleanliness could be better.
Ripon Building - 2 - 34 - 49,Chennai,"Chennai, Tamil Nadu, India",4.6,308,93.54,"Well maintained, great for tourists."
Mayajaal Multiplex - 3 - 27 - 28 - 9,Chennai,"Chennai, Tamil Nadu, India",4,255,81.28,Perfect for a family outing!
Madras High Court - 19,Chennai,"Chennai, Tamil Nadu, India",2.9,2265,69.33,"மிகவும் அழகான சூழல், மறக்க முடியாத அனுபவம்."
Blue Lagoon Beach - 25 - 9,Chennai,"Chennai, Tamil Nadu, India",3.5,2837,84.19,"Clean and peaceful, highly recommended."
Thousand Lights Mosque - 20 - 33,Chennai,"Chennai, Tamil Nadu, India",2.5,4617,73.09,Cleanliness could be better.
St. Thomas Mount - 38 - 23,Chennai,"Chennai, Tamil Nadu, India",3.8,2317,87.59,"நல்ல கட்டமைப்பு, குடும்பத்துடன் செல்ல நல்ல இடம்."
T Nagar Shopping District - 40 - 47 - 42 - 38,Chennai,"Chennai, Tamil Nadu, India",4,2455,92.28,Amazing place! Had a wonderful experience.
St. Thomas Mount - 50 - 41 - 32,Chennai,"Chennai, Tamil Nadu, India",2.8,1318,62.59,"குழப்பமான சூழல், அதிக மக்களை சந்திக்க நேர்ந்தது."
Parthasarathy Temple - 30,Chennai,"Chennai, Tamil Nadu, India",3.4,343,69.72,"Clean and peaceful, highly recommended."
St. Thomas Mount - 50 - 16,Chennai,"Chennai, Tamil Nadu, India",3.6,437,74.19,Cleanliness could be better.
Guindy National Park - 41,Chennai,"Chennai, Tamil Nadu, India",4.2,1877,93.39,"நன்றாக இல்லை, பராமரிப்பு தேவை."
